Ημερομηνία	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας
Ιούνιος 2014	3,562.5	1,249.2	3,325.2	26.0	3,543.3	1,284.0	3,309.6	26.6
Ιούλιος 2014	3,628.5	1,207.3	3,296.8	25.0	3,556.1	1,266.6	3,309.8	26.3
Αύγουστος 2014	3,546.3	1,203.8	3,378.1	25.3	3,522.9	1,254.7	3,350.4	26.3
Σεπτέμβριος 2014	3,582.7	1,219.1	3,322.0	25.4	3,551.1	1,249.8	3,322.9	26.0
Οκτώβριος 2014	3,597.7	1,219.8	3,301.9	25.3	3,553.2	1,242.4	3,323.8	25.9
Νοέμβριος 2014	3,497.1	1,224.4	3,393.5	25.9	3,536.5	1,234.0	3,344.8	25.9
Δεκέμβριος 2014	3,483.5	1,277.3	3,350.0	26.8	3,530.2	1,231.9	3,348.5	25.9
Ιανουάριος 2015	3,550.5	1,248.5	3,307.0	26.0	3,565.1	1,233.2	3,307.6	25.7
Φεβρουάριος 2015	3,516.7	1,225.9	3,359.8	25.8	3,553.1	1,234.2	3,314.7	25.8
Μάρτιος 2015	3,438.1	1,299.4	3,361.2	27.4	3,487.5	1,228.5	3,383.2	26.1
Απρίλιος 2015	3,588.8	1,231.5	3,274.9	25.5	3,586.5	1,211.6	3,296.5	25.3
Μάιος 2015	3,630.0	1,146.7	3,314.8	24.0	3,620.4	1,198.5	3,273.4	24.9
Ιούνιος 2015	3,599.9	1,209.8	3,278.3	25.2	3,578.9	1,195.5	3,313.3	25.0
Ιούλιος 2015	3,643.9	1,186.9	3,253.6	24.6	3,615.9	1,193.6	3,274.9	24.8
Αύγουστος 2015	3,662.2	1,116.4	3,302.3	23.4	3,639.8	1,183.5	3,257.6	24.5
Σεπτέμβριος 2015	3,634.6	1,184.5	3,258.3	24.6	3,626.8	1,189.5	3,261.0	24.7
Οκτώβριος 2015	3,637.1	1,176.3	3,260.5	24.4	3,621.2	1,178.0	3,274.9	24.5
Νοέμβριος 2015	3,600.1	1,156.8	3,313.4	24.3	3,622.9	1,172.5	3,274.8	24.5
Δεκέμβριος 2015	3,634.6	1,177.1	3,254.5	24.5	3,699.4	1,158.7	3,208.5	23.9
Ιανουάριος 2016	3,548.2	1,224.7	3,291.5	25.7	3,617.7	1,165.0	3,281.3	24.4
Φεβρουάριος 2016	3,585.7	1,180.2	3,295.2	24.8	3,631.8	1,150.6	3,278.8	24.1
Μάρτιος 2016	3,600.7	1,189.9	3,267.4	24.8	3,665.5	1,144.4	3,248.4	23.8
Απρίλιος 2016	3,650.5	1,125.7	3,278.7	23.6	3,672.7	1,131.2	3,250.7	23.5
Μάιος 2016	3,670.4	1,116.6	3,264.7	23.3	3,664.3	1,132.6	3,254.7	23.6
Ιούνιος 2016	3,731.1	1,086.9	3,230.6	22.6	3,690.0	1,129.6	3,229.2	23.4
Ιούλιος 2016	3,715.5	1,084.3	3,245.7	22.6	3,698.2	1,125.9	3,221.2	23.3
Αύγουστος 2016	3,694.8	1,121.7	3,225.8	23.3	3,691.3	1,123.2	3,228.0	23.3
Σεπτέμβριος 2016	3,747.5	1,060.7	3,231.0	22.1	3,702.3	1,112.3	3,224.8	23.1
Οκτώβριος 2016	3,694.7	1,068.4	3,273.2	22.4	3,658.6	1,110.7	3,265.2	23.3
Νοέμβριος 2016	3,630.0	1,131.2	3,272.1	23.8	3,667.6	1,114.9	3,253.1	23.3
Δεκέμβριος 2016	3,637.4	1,122.5	3,270.2	23.6	3,661.4	1,117.3	3,250.7	23.4
Ιανουάριος 2017	3,603.4	1,136.2	3,287.8	24.0	3,657.1	1,103.3	3,266.7	23.2
Φεβρουάριος 2017	3,627.2	1,141.5	3,255.9	23.9	3,702.3	1,079.4	3,242.9	22.6
Μάρτιος 2017	3,669.2	1,079.7	3,272.8	22.7	3,720.2	1,057.1	3,244.8	22.1
